state_name,statefp,city,GEOID,ncity,ncehat,ncehat2,Richmond,Not_Richmond,Virginia,Not_Virginia,quintileResidRich
Virginia,51,"Richmond city, VA",51760010200,"Richmond city, VA",-.02,0,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760010300,"Richmond city, VA",-3.0599999,-3,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760010401,"Richmond city, VA",4.2600002,4,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760010402,"Richmond city, VA",-.61000001,-1,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760010500,"Richmond city, VA",-.72000003,-1,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760010600,"Richmond city, VA",-.51999998,-1,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760010700,"Richmond city, VA",4.4699998,4,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760010800,"Richmond city, VA",1.84,2,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760010900,"Richmond city, VA",2.96,3,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760011000,"Richmond city, VA",4.2399998,4,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760011100,"Richmond city, VA",13.85,14,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760020100,"Richmond city, VA",-.82999998,-1,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760020200,"Richmond city, VA",1.77,2,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760020300,"Richmond city, VA",4.6300001,5,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760020400,"Richmond city, VA",-.07,0,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760020500,"Richmond city, VA",-.88999999,-1,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760020600,"Richmond city, VA",-1.7,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760020700,"Richmond city, VA",-.2,0,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760020800,"Richmond city, VA",.2,0,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760020900,"Richmond city, VA",4.2399998,4,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760021000,"Richmond city, VA",2.3499999,2,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760021100,"Richmond city, VA",3.5999999,4,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760021200,"Richmond city, VA",4.8299999,5,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760030100,"Richmond city, VA",-3.4100001,-3,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760030200,"Richmond city, VA",1.79,2,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760030500,"Richmond city, VA",-2.21,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760040200,"Richmond city, VA",-1.13,-1,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760040300,"Richmond city, VA",-1.85,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760040400,"Richmond city, VA",-1.89,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760040500,"Richmond city, VA",-2.0899999,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760040600,"Richmond city, VA",-1.83,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760040700,"Richmond city, VA",-1.67,-2,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760040800,"Richmond city, VA",-.34,0,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760040900,"Richmond city, VA",-1.27,-1,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760041000,"Richmond city, VA",-1.5,-1,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760041100,"Richmond city, VA",-1.42,-1,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760041200,"Richmond city, VA",-1.04,-1,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760041300,"Richmond city, VA",-3.8399999,-4,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760041400,"Richmond city, VA",-1.8099999,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760041600,"Richmond city, VA",-2.47,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760050100,"Richmond city, VA",-1.64,-2,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760050200,"Richmond city, VA",-1.02,-1,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760050300,"Richmond city, VA",-1.7,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760050400,"Richmond city, VA",-1.0599999,-1,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760050500,"Richmond city, VA",.37,0,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760050600,"Richmond city, VA",-1.1900001,-1,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760060200,"Richmond city, VA",2.8,3,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760060400,"Richmond city, VA",.99000001,1,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760060500,"Richmond city, VA",.81,1,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760060600,"Richmond city, VA",.62,1,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760060700,"Richmond city, VA",3.28,3,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760060800,"Richmond city, VA",-.47,0,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760060900,"Richmond city, VA",-.87,-1,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760061000,"Richmond city, VA",-.090000004,0,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760070100,"Richmond city, VA",-2.47,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760070300,"Richmond city, VA",-.31999999,0,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760070400,"Richmond city, VA",1.04,1,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760070601,"Richmond city, VA",5.9899998,6,1,0,1,0,5
Virginia,51,"Richmond city, VA",51760070602,"Richmond city, VA",1.5,2,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760070700,"Richmond city, VA",2.29,2,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760070801,"Richmond city, VA",-.31999999,0,1,0,1,0,3
Virginia,51,"Richmond city, VA",51760070802,"Richmond city, VA",-1.5700001,-2,1,0,1,0,2
Virginia,51,"Richmond city, VA",51760070900,"Richmond city, VA",1.21,1,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760071001,"Richmond city, VA",-2.0699999,-2,1,0,1,0,1
Virginia,51,"Richmond city, VA",51760071002,"Richmond city, VA",1.88,2,1,0,1,0,4
Virginia,51,"Richmond city, VA",51760071100,"Richmond city, VA",1.25,1,1,0,1,0,4
