"maj_occ_code","year","bgt","per_bgt","tot_emp","per_oes"
"11",2010,1506757,12.8979171940015,6022860,4.73878409242189
"11",2011,1937580,13.6634175284783,6183820,4.82061887977374
"11",2012,1830724,12.997991858949,6390430,4.90486055091923
"11",2013,2215412,12.2642552372886,6542950,4.93476787369914
"11",2014,2203184,11.5845883263708,6741640,4.98906742379425
"11",2015,2437648,11.7092845938996,6936990,5.03057144386238
"11",2016,2546621,10.8414198081486,7090790,5.05041878905448
"11",2017,2366259,10.6349842346649,7280330,5.10723837550881
"11",2018,3148799,10.9498359784433,7616650,5.26254260682426
"11",2019,3623209,10.8356881078499,8054120,5.48363824921628
"13",2010,796031,6.81406618443333,6090910,4.79232580806684
"13",2011,1023076,7.21452252364573,6178070,4.81613644681827
"13",2012,1040038,7.38418541352909,6419370,4.92707293167352
"13",2013,1232211,6.8213723723599,6658090,5.0216077812298
"13",2014,1212452,6.37520846442464,6828940,5.05367271065283
"13",2015,1445824,6.94504074775779,7032560,5.09987696583804
"13",2016,1493513,6.35815122153134,7281190,5.18603128603097
"13",2017,1437393,6.46026149040226,7472750,5.24222330177114
"13",2018,1833852,6.37715478464655,7721300,5.33484802768569
"13",2019,2153665,6.44082144551764,8183750,5.57189668418445
"15",2010,1674863,14.3369131753142,3283950,2.5838106846762
"15",2011,2025091,14.2805271865748,3406720,2.655720695315
"15",2012,2032247,14.4287888078015,3578220,2.74639893098121
"15",2013,2028020,11.2268755907822,3696180,2.78770131506573
"15",2014,2047304,10.7649538208939,3834180,2.83743755747317
"15",2015,2479844,11.9119738142974,4005250,2.90453010246949
"15",2016,2235900,9.51862509146016,4165140,2.96662308643217
"15",2017,2258913,10.152525206446,4261460,2.98946504453724
"15",2018,3107701,10.8069191523639,4384300,3.02922748860715
"15",2019,3571230,10.6802379993527,4552880,3.09982306100378
"17",2010,385775,3.30225378446287,2305530,1.81399017885215
"17",2011,544615,3.8405134948091,2310830,1.80141574721573
"17",2012,560308,3.97814133780079,2356530,1.80871256457824
"17",2013,596995,3.30489274924262,2380840,1.79565681296936
"17",2014,592399,3.11490031697477,2418020,1.78942583882898
"17",2015,634063,3.04573265601176,2475390,1.79510511712176
"17",2016,629972,2.68190316477362,2499050,1.77994963534198
"17",2017,631934,2.84018280642515,2516780,1.76555120423292
"17",2018,826218,2.87314356439947,2556220,1.76615922517331
"17",2019,952022,2.84714833282084,2592680,1.76522316727067
"19",2010,121972,1.04408657533149,1064510,0.837556087012487
"19",2011,146895,1.03587346991909,1082370,0.843765384002236
"19",2012,162810,1.15593778994294,1104100,0.847432259530255
"19",2013,174634,0.966752887999458,1135030,0.856052633702648
"19",2014,202765,1.06616108867738,1144440,0.846928688343948
"19",2015,210781,1.01249020202537,1146110,0.831136881777992
"19",2016,230605,0.98172661532992,1152840,0.821110877176388
"19",2017,210214,0.944792001173945,1148300,0.805546153347001
"19",2018,266676,0.927356258493272,1171910,0.809703256203636
"19",2019,306709,0.917254031956348,1288920,0.877559685251752
"21",2010,128352,1.09869970252966,1901180,1.49584774356878
"21",2011,144318,1.01770099344282,1890410,1.47367584058286
"21",2012,153318,1.08854536010362,1882080,1.44455693054678
"21",2013,209269,1.1584880957818,1901730,1.4343065602595
"21",2014,225577,1.18610914063362,1930750,1.42882769303771
"21",2015,244778,1.17579538322414,1972140,1.43015791680524
"21",2016,253008,1.07710018209229,2019250,1.43821184096529
"21",2017,222843,1.00155215122497,2096740,1.47088813164573
"21",2018,311474,1.08313970232767,2171820,1.50056721581707
"21",2019,413133,1.23552914972897,2244310,1.5280358573126
"23",2010,121167,1.03719573404708,992650,0.78101666473114
"23",2011,158118,1.11501576851946,1002330,0.781369917262083
"23",2012,194605,1.38167971016427,1023020,0.785200751874505
"23",2013,227379,1.25874288466409,1041700,0.785662078119564
"23",2014,185762,0.976757409586895,1052900,0.779185641848715
"23",2015,135776,0.652202379105314,1062370,0.770410247789903
"23",2016,128451,0.546838817309874,1075520,0.766039667794966
"23",2017,111008,0.498917629017655,1095770,0.768695731475262
"23",2018,171802,0.597435314470223,1127900,0.779295596651689
"23",2019,215632,0.644876157591761,1150780,0.783507226665744
"25",2010,247170,2.11578787610832,8457870,6.65464908893322
"25",2011,308946,2.17862394933539,8409060,6.55531263800534
"25",2012,388869,2.76093834799656,8374910,6.4280127748053
"25",2013,510636,2.82681967839304,8400640,6.3358589612502
"25",2014,539786,2.83825526798415,8435780,6.24279480842867
"25",2015,536604,2.57758665329239,8542670,6.19497963184895
"25",2016,550071,2.34175035676219,8636430,6.15130166629582
"25",2017,522028,2.34621803870737,8727710,6.12259271795537
"25",2018,848639,2.95111179053035,8779780,6.06617953149266
"25",2019,951820,2.8465442249712,8886600,6.0504312905054
"27",2010,299651,2.56502792759532,1716640,1.35065173761554
"27",2011,330899,2.3334320114555,1725670,1.34525218752473
"27",2012,349037,2.47813437988031,1750130,1.34328106183469
"27",2013,497673,2.75505806446256,1758310,1.32613755263359
"27",2014,496619,2.61127834536468,1793700,1.3274055330839
"27",2015,494382,2.37477254144211,1843600,1.33694318629617
"27",2016,501254,2.13392768084206,1902970,1.35539135174036
"27",2017,479868,2.15673289133616,1925140,1.35050868384085
"27",2018,642983,2.23595040106639,1951170,1.34811436237155
"27",2019,761935,2.27866789314516,2017810,1.37382359533395
"29",2010,1455045,12.4552598219526,7346580,5.78028651466327
"29",2011,1595765,11.2530081195781,7514980,5.85832939333973
"29",2012,1514485,10.7527206179088,7649930,5.87156730834914
"29",2013,1744703,9.65846664424635,7755810,5.84952078535134
"29",2014,1920849,10.1000392623226,7854380,5.81253691862827
"29",2015,2748970,13.2047252392848,8021800,5.81725474714181
"29",2016,3335306,14.1989925217128,8318500,5.92485586186443
"29",2017,3413834,15.3432362094611,8506740,5.96757962598891
"29",2018,3280590,11.4081344704827,8646730,5.97425180817099
"29",2019,3552045,10.6228627068015,8673140,5.90509729738415
"31",2010,273221,2.33878577213332,3962930,3.11803190566965
"31",2011,286123,2.01768082530827,3954070,3.08240933499794
"31",2012,271888,1.93038273958605,3915460,3.005241477131
"31",2013,356237,1.97208532452021,3924390,2.95981991240437
"31",2014,388126,2.04080999533448,3940500,2.91611836043771
"31",2015,437080,2.09952138713286,3989910,2.89340583013396
"31",2016,487320,2.07460815759666,4043480,2.87997068946704
"31",2017,456405,2.05128009217176,4113410,2.88560620276852
"31",2018,571666,1.98794808257142,4117450,2.84485384735659
"31",2019,719879,2.15289383510332,6521790,4.44035314812248
"33",2010,101505,0.86888800568182,3187810,2.50816776708465
"33",2011,122016,0.860431854764609,3202500,2.49652026780783
"33",2012,127698,0.906645438855925,3207790,2.46208199239069
"33",2013,172661,0.955830596532601,3257690,2.45698713187033
"33",2014,180548,0.949341613387532,3297180,2.44003733933968
"33",2015,236495,1.13600784856316,3351620,2.43053022458992
"33",2016,258784,1.10168964429019,3386360,2.41193663477589
"33",2017,240827,1.08237997120419,3408680,2.3912296978062
"33",2018,325720,1.13267965814857,3437410,2.37499643309379
"33",2019,395773,1.18361176225497,3498800,2.38215391704592
"35",2010,280905,2.4045612062071,11027340,8.6763071653214
"35",2011,299588,2.11263324896095,11218710,8.74558529075983
"35",2012,351620,2.49647347030118,11546880,8.86260176517047
"35",2013,664057,3.67613994151343,11914590,8.98612032191857
"35",2014,760428,3.99841562567879,12277720,9.08597505806705
"35",2015,696295,3.3446651511249,12577080,9.12065600428611
"35",2016,914931,3.89502445259391,12981720,9.24623668198385
"35",2017,879933,3.954796825944,13193090,9.25511007599128
"35",2018,1257407,4.37258790038567,13374620,9.24087461023993
"35",2019,1560924,4.66815069847129,13494590,9.18777593101313
"37",2010,123175,1.05438431702732,4175550,3.28532124557307
"37",2011,141750,0.999591983124208,4191750,3.26769362453816
"37",2012,151632,1.07657489690208,4246260,3.25914111616062
"37",2013,213494,1.18187718926759,4291410,3.23663060253727
"37",2014,246959,1.29853809236641,4371450,3.23503758577221
"37",2015,217370,1.04414057820323,4407050,3.19590771814198
"37",2016,250267,1.06543125621202,4426090,3.15248485684192
"37",2017,251713,1.13130633065113,4424440,3.10379745947453
"37",2018,455072,1.58249661486242,4421980,3.05526158567412
"37",2019,587979,1.75842935308603,4429100,3.01554759174234
"39",2010,186970,1.60047278875257,3425220,2.69496187011574
"39",2011,231352,1.63144694518343,3619250,2.82139921288477
"39",2012,258684,1.83663541093052,3810750,2.92487318449861
"39",2013,449764,2.48983958403397,3986740,3.00684499694959
"39",2014,533329,2.80430363851363,4154360,3.07438281229996
"39",2015,317722,1.52618315677365,4307500,3.12371597687718
"39",2016,292300,1.24437323414902,4514960,3.21578255960611
"39",2017,281619,1.26571673903073,5159100,3.61917021660935
"39",2018,705777,2.45431429168956,5451330,3.76646641093648
"39",2019,737865,2.20668335878462,3303200,2.24897988418489
"41",2010,1444248,12.3628369482287,13437980,10.5729978545547
"41",2011,1746103,12.3131609206993,13646450,10.6381386443798
"41",2012,1542477,10.9514615466974,13835090,10.6188765324739
"41",2013,2270601,12.5697749249542,14068190,10.6103901226657
"41",2014,2400081,12.6198948135718,14248470,10.544404257111
"41",2015,2458621,11.8100287644229,14462120,10.4876506798642
"41",2016,2780541,11.8372589697364,14536530,10.3536508963958
"41",2017,2476275,11.1294433896268,14522580,10.1877631765863
"41",2018,3118714,10.8452164662384,14542290,10.0476483395974
"41",2019,3489449,10.4356610486032,14371410,9.78475780981277
"43",2010,1126084,9.63933679119458,21503800,16.9191821438024
"43",2011,1362849,9.61053216655269,21384330,16.6702305256802
"43",2012,1369273,9.72172720010156,21355350,16.3909179454392
"43",2013,1930246,10.6856104484201,21442800,16.1724054993781
"43",2014,1967828,10.3470601080553,21638470,16.0132824917601
"43",2015,2106117,10.116769665288,21846420,15.8426027142354
"43",2016,2332088,9.92811456339422,22026080,15.6880866985508
"43",2017,2280474,10.2494296007171,21965480,15.4090463471397
"43",2018,2991902,10.4042322687401,21828990,15.0822198655499
"43",2019,3471588,10.3822453540368,19528250,13.2957863354727
"45",2010,5923,0.0507011837609321,408040,0.32104572596272
"45",2011,7439,0.0524583052025466,409590,0.319297341605436
"45",2012,8173,0.058027636860166,427670,0.328250479515718
"45",2013,13828,0.0765501502299466,435250,0.32827053806426
"45",2014,13419,0.0705586055234469,447130,0.330893034514024
"45",2015,13289,0.0638339427876099,454230,0.329398841132193
"45",2016,14822,0.063099897627632,463640,0.330227826145918
"45",2017,14259,0.0640860701225384,470920,0.330355999768501
"45",2018,19572,0.0680609304595476,480130,0.331734369022409
"45",2019,28469,0.0851403285712688,484750,0.330041474587862
"47",2010,114233,0.977840338437036,5072530,3.99106478854445
"47",2011,134784,0.950469177096389,4956770,3.86406768707629
"47",2012,134934,0.958020451742277,4978290,3.82099768435547
"47",2013,197123,1.09124929590525,5088030,3.83745053598415
"47",2014,209106,1.09950277715075,5290270,3.91499897948808
"47",2015,185836,0.892666460371606,5477820,3.97240948402956
"47",2016,223326,0.950738614059408,5585420,3.97821823982386
"47",2017,206163,0.926585067302958,5728460,4.01858305112093
"47",2018,327362,1.13838965446037,5962640,4.11974385709657
"47",2019,397688,1.18933882429487,6194140,4.21727302610347
"49",2010,366861,3.14034897445878,4928960,3.87810396392807
"49",2011,425351,2.99948818069746,4988980,3.8891771071625
"49",2012,420829,2.98785175483015,5069590,3.89107337070192
"49",2013,565191,3.12882961806579,5138130,3.87523653014157
"49",2014,590591,3.10539365039854,5244670,3.88125326264099
"49",2015,602454,2.8938982743748,5374150,3.89722999817399
"49",2016,683550,2.9099942668579,5456640,3.8864946192323
"49",2017,610090,2.74200648860786,5528390,3.8782315585666
"49",2018,897474,3.1209337575747,5628880,3.88914034762014
"49",2019,1083479,3.24028796445501,5713450,3.88999579780097
"51",2010,251108,2.14949735806857,8236340,6.48034936421868
"51",2011,346836,2.44581647307843,8365980,6.5217294707494
"51",2012,356412,2.5304962814885,8594170,6.59630187653938
"51",2013,471566,2.61053284230077,8765180,6.61079920696173
"51",2014,545046,2.86591293733755,8934050,6.61153336837165
"51",2015,452074,2.17154532709504,9073290,6.57977502863376
"51",2016,565326,2.40669361261899,9105650,6.4855038502838
"51",2017,554976,2.4943005016008,9024560,6.33083653544301
"51",2018,781438,2.71742271492172,9115530,6.29815798399359
"51",2019,885185,2.64726340041303,9158980,6.23588089720626
"53",2010,385504,3.29993401056464,8547980,6.72554760468291
"53",2011,516270,3.64063035716074,8635940,6.73217774912485
"53",2012,496057,3.52196445099025,8771690,6.73255418585177
"53",2013,776969,4.30120723705607,9005120,6.79176470472885
"53",2014,1013614,5.32969598174552,9249310,6.84483763795967
"53",2015,1182284,5.67912177099154,9536610,6.91576576256452
"53",2016,2144776,9.13069397073284,9731790,6.9314723841959
"53",2017,1751542,7.87218202079887,9978390,6.99995966306382
"53",2018,2031200,7.06342540105421,10244260,7.07802704934394
"53",2019,2580882,7.71847066927793,12532030,8.53241807277838
"55",2010,5543,0.04744836427264,NA,NA
"55",2011,6497,0.0458155140342714,NA,NA
"55",2012,9727,0.0690609107719117,NA,NA
"55",2013,16680,0.0923384803178702,NA,NA
"55",2014,18404,0.0967702940646484,NA,NA
"55",2015,16626,0.0798632803662278,NA,NA
"55",2016,17182,0.0731468385533648,NA,NA
"55",2017,18490,0.0831020013020362,NA,NA
"55",2018,20509,0.071319314469388,NA,NA
"55",2019,33636,0.100592928863789,NA,NA
NA,2010,280110,2.39775596543554,NA,NA
NA,2011,338525,2.38720900237829,NA,NA
NA,2012,358823,2.54761418586508,NA,NA
NA,2013,528626,2.92641016166154,NA,NA
NA,2014,524057,2.7555504236382,NA,NA
NA,2015,527145,2.53215018216379,NA,NA
NA,2016,619823,2.63869706161461,NA,NA
NA,2017,572705,2.57398224205963,NA,NA
NA,2018,814039,2.83079152720006,NA,NA
NA,2019,963542,2.88160042404782,NA,NA
