variable,estimate,isnonvet,status
1834,33352,Veteran,Employed
1834,1261,Veteran,Unemployed
1834,4919,Veteran,Not in Labor Force
1834,1052180,Non-Veteran,Employed
1834,83132,Non-Veteran,Unemployed
1834,277731,Non-Veteran,Not in Labor Force
3554,119630,Veteran,Employed
3554,3305,Veteran,Unemployed
3554,9139,Veteran,Not in Labor Force
3554,1343557,Non-Veteran,Employed
3554,53839,Non-Veteran,Unemployed
3554,206794,Non-Veteran,Not in Labor Force
5564,59473,Veteran,Employed
5564,2339,Veteran,Unemployed
5564,17460,Veteran,Not in Labor Force
5564,463779,Non-Veteran,Employed
5564,18447,Non-Veteran,Unemployed
5564,175619,Non-Veteran,Not in Labor Force